ülke;Material;Material Description;hebrew change;User Manual;Warranty Document;Packaging Label;RANGE _STÝKER (ÜRÜN ETÝKET);Energy Label;ýnsulatýn class;Gas Safety stiker;Importer stýcker;Rating Plate
DZ;BBH21630R;2in1 cordless handstick vacuum cleaner;;User Manual;Warranty document;;;;;;Importer stýcker;
DZ;BBH22451;2in1 cordless handstick vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BCH65RT25K;Cordless handstick vacuum cleaner;;User Manual;Warranty document;;;;;;Importer stýcker;
DZ;BCH6ATH25;Cordless handstick vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BFL524MB0;Built-in microwave oven;;;Warranty document;;;;;;Importer stýcker;
DZ;BGC1U1550;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGC1U1700;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGL3B110;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGL3B112;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGN21702;Bagless vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGS2UPWER1;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGS3U1800;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGS3U2000;Canister vacuum cleaner bagless;;;Warranty document;;;;;;Importer stýcker;
DZ;BGS412000;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGS4UGOLD2;Vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BGS5335;Cordless handstick vacuum cleaner;;;Warranty document;;;;;;Importer stýcker;
DZ;BHN14090;Warming drawer;;;Warranty document;;;;;;Importer stýcker;
DZ;BIC630NS1;Built-in fully-automatic coffee machine;;;Warranty document;;;;;;Importer stýcker;
DZ;CTL636ES1;Slimline cooker hood;;User Manual;Warranty document;;;;;;Importer stýcker;
DZ;DFT63CA50Q;Slimline cooker hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DFT63CA60Q;Built-under cooker hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DHU632HQ;Built-under cooker hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DHU636HQ;Built-under cooker hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DHU665CQ;Wall hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DWB66DM50;Wall hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DWB94BC52;Flat hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DWF97RU60;Inclined hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DWK67HM60;Inclined hood;;;Warranty document;;;;;;Importer stýcker;
DZ;DWK97HM60;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBF113BA0Q;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBF113BR0Q;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBG635BS1;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBG636ES1;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBG636LB1;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBG655NB1;Oven;;User Manual;Warranty document;;;;;;Importer stýcker;
DZ;HBG675BS1;Oven;;User Manual;Warranty document;;;;;;Importer stýcker;
DZ;HBJ558YB0Q;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBJ558YS0Q;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBN211E4;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBN301E2Q;Oven;;;Warranty document;;;;;;Importer stýcker;
DZ;HBN301E6T;Microwave;;;Warranty document;;;;;;Importer stýcker;
DZ;HMT72G420;Free-standing refrigerator;;;Warranty document;;;;;;Importer stýcker;
DZ;KDD75VI208;Free-standing fridge-freezer;;;Warranty document;;;;;;Importer stýcker;
DZ;KDN46VL20U;Free-standing refrigerator;;;Warranty document;;;;;;Importer stýcker;
DZ;KDN65VI208;Free-standing fridge-freezer;;;Warranty document;;;;;;Importer stýcker;
DZ;KGN36NL30U;Free-standing fridge-freezer;;;Warranty document;;;;;;Importer stýcker;
DZ;KGN56LB30U;Free-standing fridge-freezer;;;Warranty document;;;Energy Label;;;Importer stýcker;
DZ;KGN56VI30U;Free-standing fridge-freezer;;;Warranty document;;;;;;Importer stýcker;
DZ;KGN57VI22N;Free-standing fridge-freezer;;;Warranty document;;;;;;Importer stýcker;
DZ;KGN86AI30U;Built-in fridge-freezer combination;;;Warranty document;;;Energy Label;;;Importer stýcker;
DZ;KIS87AF30N;Compact food processor;;;Warranty document;;;;;;Importer stýcker;
DZ;MCM3200W;Compact food processor;;;Warranty document;;;;;;Importer stýcker;
DZ;MCM3201B;Compact food processor;;;Warranty document;;;;;;Importer stýcker;
DZ;MCM3501M;Food processors;;;Warranty document;;;;;;Importer stýcker;
DZ;MCM62020;Food processors;;;Warranty document;;;;;;Importer stýcker;
DZ;MCM64060;Food processors;;;Warranty document;;;;;;Importer stýcker;
DZ;MCM68885;Citrus press;;;Warranty document;;;;;;Importer stýcker;
DZ;MCP3500;Citrus press;;;Warranty document;;;;;;Importer stýcker;
DZ;MCP3500N;Citrus press;;;Warranty document;;;;;;Importer stýcker;
DZ;MCP72GPB;Juice extractor;;;Warranty document;;;;;;Importer stýcker;
DZ;MES25A0;Juice extractor;;;Warranty document;;;;;;Importer stýcker;
DZ;MES25G0;Juice extractor;;;Warranty document;;;;;;Importer stýcker;
DZ;MES3500;Juice extractor;;;Warranty document;;;;;;Importer stýcker;
DZ;MES4000;Slow Juicer;;;Warranty document;;;;;;Importer stýcker;
DZ;MESM731M;Hand mixer;;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ2210D;Hand mixer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ2210K;Hand mixer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ2210P;Hand mixer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ3010;Hand mixer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ3540;Hand mixer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ36460;Hand mixer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ40302;Hand mixer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFQ40304;Meat mincer;required;;Warranty document;;;;;;Importer stýcker;
DZ;MFW3612A;Meat mincer;;;Warranty document;;;;;;Importer stýcker;
DZ;MFW3630I;Meat mincer;;;Warranty document;;;;;;Importer stýcker;
DZ;MFW45020;Meat mincer;;;Warranty document;;;;;;Importer stýcker;
DZ;MFW66020;Meat mincer;;;Warranty document;;;;;;Importer stýcker;
DZ;MFW67440;Stirring machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MMB21P0R;Stirring machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MMB42G0B;Stirring machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MMB65G5M;Universal processor;;;Warranty document;;;;;;Importer stýcker;
DZ;MMR08A1;Universal processor;;;Warranty document;;;;;;Importer stýcker;
DZ;MMR08R2;Universal glass processor;;;Warranty document;;;;;;Importer stýcker;
DZ;MMR15A1;Blender rod, CleverMixx Baby, 400W;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM2413V;Blender rod set CleverMixx;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM24500;Hand blender CleverMixx 600W;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM2623G;Blender rod;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM64010;Blender rod;required;;Warranty document;;;;;;Importer stýcker;
DZ;MSM64110;Blender rod;required;;Warranty document;;;;;;Importer stýcker;
DZ;MSM66020;Hand blender yellow/white;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM66110Y;Blender rod;required;;Warranty document;;;;;;Importer stýcker;
DZ;MSM66155;Blender rod set;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM67140;Blender rod;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM67170;Hand blender;required;User Manual;Warranty document;;;;;;Importer stýcker;
DZ;MSM6B150;Blender rod;;;Warranty document;;;;;;Importer stýcker;
DZ;MSM87110;Blender rod;required;;Warranty document;;;;;;Importer stýcker;
DZ;MSM87160;Kitchen Machine;required;;Warranty document;;;;;;Importer stýcker;
DZ;MUM4427;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM4655EU;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM4880;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM48A1;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM48R1;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM57B22;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM58020;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM58420;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM6N11;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
DZ;MUM6N21;Kitchen Machine;;;Warranty document;;;;;;Importer stýcker;
