Material;        Total Stock 
 KGV36VL32S ;-12746
 WAK28227 ;-4893
 Q8A0024545 ;-4650
 KG76NAW30N ;-4078
 Q8A0024559 ;-2650
 Q8A0024550 ;-2400
 Q8A0025673 ;-2400
 Q8A0025674 ;-2400
 Q8A0025706 ;-2400
 Q8A0025707 ;-2400
 Q8A0029791 ;-2300
 HBN232E3 ;-2071
 Q8A0024471 ;-2000
 Q8A0024575 ;-1950
 Q8A0025742 ;-1950
 WAK20202TR ;-1852
 Q8A0025746 ;-1800
 Q8A0026034 ;-1800
 Q8A0024640 ;-1750
 Q8A0027124 ;-1750
 Q8A0027125 ;-1700
 Q8A0024624 ;-1650
 Q8A0026033 ;-1650
 3TS60107 ;-1601
 Q8A0024557 ;-1550
 HCA722220U ;-1536
 Q8A0029241 ;-1500
 Q8A0029790 ;-1500
 WAT283L8SN ;-1374
 WAT28371GB ;-1366
 T30IR900SP ;-1351
 Q8A0024643 ;-1350
 WAK20260TR ;-1322
 Q8A0025747 ;-1300
 Q8A0027894 ;-1300
 Q8A0025764 ;-1275
 Q8A0025752 ;-1200
 KDN53NW22N ;-1167
 Q8A0024490 ;-1150
 Q8A0024629 ;-1150
 WAB28222 ;-1136
 Q8A0024546 ;-1100
 WAB16061ZA ;-1091
 Q8A0024544 ;-1040
 Q8A0024530 ;-1000
 Q8A0025763 ;-1000
 WAB282H2 ;-980
 SMS23BW00T ;-953
 BM4227EG ;-952
 Q8A0024495 ;-950
 Q8A0024633 ;-950
 Q8A0024644 ;-950
 KG36VVI32 ;-915
 KDN56NW22N ;-873
 HBJ558YS0Q ;-860
 WAB24211FF ;-860
 BGS4GOLD ;-858
 BD2056W2VN ;-820
 WM14T49EDN ;-815
 Q8A0024574 ;-800
 3TS853B ;-792
 WAB20268ZA ;-783
 WAB24166SN ;-783
 KGN39VI45 ;-774
 PBP6C5B80O ;-761
 WM14B2H2 ;-760
 Q8A0024577 ;-750
 Q8A0025679 ;-750
 Q8A0025743 ;-750
 Q8A0025749 ;-750
 Q8A0026722 ;-750
 WAK20200EG ;-747
 CIB30M1IR1 ;-735
 HBF114BS0R ;-733
 3TS864BC ;-721
 3TS864BC ;-716
 KGN39KL35 ;-708
 HGD64D220T ;-697
 WAB20262BY ;-676
 Q8A0029185 ;-650
 TTA5883 ;-648
 WAB28162GB ;-639
 SN615X00BT ;-626
 WAK20200IR ;-621
 HBF514BS0R ;-614
 BD3076I3DN ;-609
 Q8A0024637 ;-600
 KG39VUL31 ;-599
 KGV33VW31S ;-596
 HBF113BS00 ;-588
 Q8A0025744 ;-575
 KGN56VI30N ;-573
 KGV39VL33 ;-573
 WAT28640 ;-572
 Q8A0029352 ;-560
 KG39EVL4A ;-552
 Q8A0025733 ;-550
 Q8A0025750 ;-550
 WAK24265IR ;-548
 SMV40C30GB ;-544
 SMS40E32EU ;-542
 Q8A0024560 ;-540
 KGV36VL32S ;-537
 PBP6C5B80L ;-537
 WAB24262BY ;-535
 HBN231E2M ;-531
 HBN231E2M ;-531
 Q8A0024547 ;-529
 SMS23DW00T ;-529
 WM14K2ECO ;-526
 WM10K202TR ;-515
 KGV36UW20 ;-514
 3VS306BP ;-509
 HBF554YB0R ;-508
 WM14T69EDN ;-508
 HU245525M ;-507
 ROBO1100 ;-504
 KGV36VW32S ;-503
 Q8A0024472 ;-500
 Q8A0024474 ;-500
 Q8A0024551 ;-500
 Q8A0025741 ;-500
 Q8A0025765 ;-500
 Q8A0027894 ;-500
